,class,18-37,20-37,22-37,23-46,25-46,27-46,38-42,45-47,49-34,52-34,55-34,58-34,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,4.0,62.275230407714844,79.85911560058594,112.13688659667969,134.78094482421875,79.5580062866211,58.36516571044922,30.53792381286621,26.745540618896484,119.42108154296875,57.52408218383789,141.09693908691406,97.33998107910156,0.008672867901623249,-0.05612955242395401,-0.05612955242395401,-1.25707278681336,16.415311569264542,1.6014445863156792
1,4.0,63.60673522949219,77.68861389160156,114.91790771484375,129.02317810058594,70.73841094970703,59.56060791015625,27.52362823486328,22.408512115478516,98.28028869628906,53.53982162475586,139.29473876953125,108.4504165649414,0.015645436942577362,-0.0556512176990509,-0.0556512176990509,3.7607331701842863,19.770614025141526,2.242604328760398
2,4.0,66.32123565673828,72.3093490600586,110.17874908447266,132.178955078125,69.24036407470703,60.73492431640625,34.14400100708008,29.68917465209961,118.47547149658203,53.18254852294922,135.29452514648438,113.30862426757812,0.006260114721953869,-0.05552542209625244,-0.05552542209625244,-3.8883195556904795,20.536856859677393,-2.3944709551734835
3,4.0,72.11675262451172,83.27100372314453,115.68565368652344,131.0852813720703,77.50005340576172,65.28327178955078,24.380727767944336,20.869443893432617,122.55615997314453,59.63920211791992,138.2527618408203,105.9145736694336,0.009902548044919968,-0.07902443408966064,-0.07902443408966064,-8.667008627817427,16.58330738291106,-3.625645099518259
4,4.0,70.86744689941406,90.60366821289062,111.6955337524414,124.25715637207031,86.71092224121094,65.56527709960938,31.081708908081055,26.872764587402344,104.16311645507812,54.50224685668945,125.17860412597656,109.89293670654297,0.026357004418969154,-0.04756268113851547,-0.04756268113851547,-1.1887047307052656,11.27908499271125,5.166723844957127
5,4.0,65.09162902832031,84.11491394042969,114.638671875,140.9900665283203,77.96566772460938,57.37449264526367,29.810440063476562,23.18505859375,103.52960205078125,41.69481658935547,153.9248046875,105.79208374023438,0.002768969163298607,-0.0648595541715622,-0.0648595541715622,-5.751361617853343,26.841738480943935,-4.0060792161555705
6,4.0,73.81454467773438,94.48175811767578,118.97164154052734,139.73146057128906,88.06330871582031,66.70916748046875,31.09503173828125,25.783538818359375,122.75825500488281,51.695953369140625,138.5930938720703,96.69621276855469,0.014026219956576824,-0.06046609580516815,-0.06046609580516815,-7.04083478139293,18.6723651509752,0.45457699957442477
7,4.0,75.56945037841797,101.17192840576172,125.69340515136719,137.8035125732422,95.14573669433594,67.724365234375,29.77008628845215,24.267742156982422,119.859619140625,56.078285217285156,143.0129852294922,116.72578430175781,0.015000125393271446,-0.03532947972416878,-0.03532947972416878,-6.832260849216156,15.95173374665021,-0.7796269835890979
8,4.0,66.87474822998047,84.79304504394531,112.1425552368164,130.90338134765625,78.67743682861328,62.41415023803711,36.69497299194336,30.459217071533203,106.7995376586914,55.676822662353516,136.98504638671875,102.39348602294922,0.009793073870241642,-0.05422774329781532,-0.05422774329781532,0.9423029427045808,17.835570851774303,-2.897412067419766
9,4.0,63.1423225402832,68.46278381347656,115.60589599609375,133.0407257080078,68.69290161132812,57.82957458496094,23.728174209594727,18.919967651367188,100.30180358886719,43.76715850830078,130.59994506835938,109.99488830566406,0.010676968842744827,-0.06484565883874893,-0.06484565883874893,1.8773812951889497,21.855607591793028,1.9031026403642415
10,4.0,66.19807434082031,73.19326782226562,118.29895782470703,134.53268432617188,71.51677703857422,61.27801513671875,23.428544998168945,18.76435089111328,118.7374267578125,61.45490264892578,140.50367736816406,94.81359100341797,0.012702785432338715,-0.08912549912929535,-0.08912549912929535,-4.903537111301465,18.092522687793657,2.1893221673216585
11,4.0,59.146087646484375,77.74988555908203,111.40277862548828,148.7197723388672,76.38675689697266,50.3453254699707,38.32062530517578,29.82172966003418,114.10511016845703,60.756038665771484,138.30230712890625,87.17516326904297,0.002830220153555274,-0.07574284821748734,-0.07574284821748734,-4.623117447415602,31.60583555718943,-0.2274766557115894
12,4.0,66.9427490234375,70.32054901123047,106.27007293701172,124.11585235595703,71.42041778564453,62.83207321166992,31.649471282958984,27.049089431762695,104.36505126953125,49.64930725097656,130.54974365234375,108.18938446044922,0.012926575727760792,-0.06515605747699738,-0.06515605747699738,9.457750078688026,12.485946415091579,-1.8072048187702066
13,4.0,81.7417984008789,77.60289764404297,97.41514587402344,133.015380859375,72.43838500976562,61.56865692138672,25.839611053466797,21.156635284423828,107.82427215576172,50.72712326049805,126.46350860595703,104.30694580078125,0.014183435589075089,-0.047269634902477264,-0.047269634902477264,-0.13225743099103973,15.657317477917575,-0.21258294643340883
14,4.0,69.5738525390625,87.39649963378906,111.02049255371094,131.73683166503906,77.07952117919922,63.343482971191406,27.418344497680664,20.769079208374023,115.48277282714844,59.47948455810547,140.7984161376953,101.68159484863281,0.003764323890209198,-0.052081041038036346,-0.052081041038036346,-2.5504534646949293,24.84619801450635,-0.35854150463632406
15,4.0,74.58944702148438,86.18194580078125,112.8069839477539,136.93006896972656,84.0853042602539,55.397239685058594,32.04288864135742,26.960262298583984,121.01576232910156,53.0947151184082,144.05416870117188,112.6327133178711,0.01764642260968685,-0.06567946076393127,-0.06567946076393127,-11.839984170216317,23.849550408390066,1.4884014658542084
16,4.0,67.0687255859375,80.47159576416016,110.25910949707031,129.91348266601562,70.28440856933594,59.00685501098633,25.19000244140625,20.745014190673828,116.82036590576172,61.9671516418457,142.94044494628906,109.03965759277344,0.011936523020267487,-0.09435291588306427,-0.09435291588306427,-2.6481313075148205,23.977841731105876,3.028354159999475
17,4.0,64.31253814697266,79.88783264160156,112.99404907226562,141.7368927001953,74.12224578857422,53.01973342895508,33.16806411743164,27.788888931274414,108.88320922851562,57.26761245727539,147.1072540283203,108.83088684082031,0.008963095024228096,-0.06406952440738678,-0.06406952440738678,-3.0370022523456033,24.674853657728722,-0.6509686640566541
18,4.0,67.80062866210938,81.40994262695312,118.66859436035156,139.42901611328125,76.01942443847656,60.650245666503906,23.948856353759766,18.520736694335938,104.1123275756836,50.388607025146484,140.25643920898438,100.524658203125,0.013239665888249874,-0.07130160182714462,-0.07130160182714462,-0.5779149644143581,24.227277800874756,1.5978236667192887
19,4.0,56.30826950073242,71.17117309570312,104.18975830078125,128.670654296875,73.78977966308594,56.839412689208984,23.768856048583984,19.20995330810547,118.97956085205078,60.4623908996582,136.09085083007812,117.37753295898438,0.006830219645053148,-0.041258517652750015,-0.041258517652750015,6.324515444361795,18.63856807849068,-0.15887405884497163
20,4.0,71.00750732421875,76.66409301757812,104.90234375,126.44055938720703,73.92861938476562,58.833370208740234,32.20280838012695,27.420257568359375,105.14073944091797,53.86907958984375,137.5066375732422,107.32637786865234,0.010673909448087215,-0.061186548322439194,-0.061186548322439194,-1.6614119799202243,20.222491601859513,-1.1714575771329085
21,4.0,74.199951171875,78.7920150756836,111.43577575683594,140.6748809814453,79.49444580078125,61.5333251953125,30.570913314819336,25.02834129333496,118.67232513427734,48.7035026550293,138.98670959472656,115.5857925415039,0.015263762325048447,-0.08308573067188263,-0.08308573067188263,-7.311379608310216,26.065187707190084,-1.5965120982201342
22,4.0,80.7440414428711,94.08628845214844,111.38976287841797,146.11756896972656,89.36236572265625,62.979007720947266,22.77918243408203,16.70073890686035,115.52386474609375,48.107666015625,135.9744873046875,96.99296569824219,0.015193031169474125,-0.06582354754209518,-0.06582354754209518,-13.944647957765818,22.203126381112895,-0.27003707173992575
23,4.0,73.91344451904297,77.42728424072266,107.01161193847656,133.08157348632812,71.06837463378906,59.01898956298828,23.4863224029541,19.58187484741211,113.40940856933594,52.12922286987305,140.41456604003906,129.9559783935547,0.008467811159789562,-0.08800418674945831,-0.08800418674945831,-3.3797880884971274,23.52282007032062,1.8670810922824355
24,4.0,86.44366455078125,97.27288818359375,99.68423461914062,130.58428955078125,83.83942413330078,70.23466491699219,27.097612380981445,21.43303871154785,118.9427490234375,57.88785171508789,151.65823364257812,103.18174743652344,0.010306074284017086,-0.08003494888544083,-0.08003494888544083,-9.110357718091215,25.297774503153253,-1.8434839518778376
25,4.0,67.12566375732422,58.49802017211914,102.779052734375,129.5397186279297,66.10863494873047,60.18903732299805,25.208240509033203,21.610258102416992,113.13260650634766,61.99690246582031,135.27503967285156,115.41676330566406,0.009155532345175743,-0.0875900462269783,-0.0875900462269783,2.928064355254665,22.478772276884037,-1.0079394766133685
26,4.0,78.35321044921875,88.88824462890625,108.7924575805664,139.40582275390625,84.18305969238281,65.45768737792969,32.487247467041016,26.217782974243164,106.84782409667969,47.710304260253906,148.3057098388672,93.55299377441406,0.019598668441176414,-0.06992235779762268,-0.06992235779762268,-2.70434654554733,22.673586270753116,2.1719423739189145
27,4.0,66.9490737915039,83.79373931884766,106.00878143310547,121.98822021484375,79.56021881103516,59.14564895629883,23.31914710998535,20.395404815673828,109.79045104980469,52.17841720581055,147.59596252441406,114.09425354003906,0.012242686934769154,-0.07660049200057983,-0.07660049200057983,-0.12234898636410287,19.614323645329705,5.276500887260934
28,4.0,76.18638610839844,81.0217056274414,105.02788543701172,129.96795654296875,77.87626647949219,64.63607788085938,22.89737319946289,19.33493995666504,117.93677520751953,61.456451416015625,139.9271240234375,122.0185317993164,0.012853779830038548,-0.0916498675942421,-0.0916498675942421,-3.19810953679527,24.420053247832072,-1.5937296120528648
29,4.0,59.93100357055664,76.92115020751953,124.5918960571289,144.8730926513672,76.90074920654297,53.547698974609375,24.035499572753906,22.003158569335938,121.33999633789062,47.757869720458984,131.90591430664062,121.56327819824219,0.004239203408360481,-0.09845305234193802,-0.09845305234193802,-0.8568193679465772,20.057274467288575,-3.1571225092780537
30,4.0,71.44153594970703,79.85702514648438,102.97135162353516,135.28646850585938,78.40727233886719,60.698951721191406,28.594322204589844,22.927001953125,112.37599182128906,50.383544921875,139.21571350097656,107.6358642578125,0.0045910608023405075,-0.01992214284837246,-0.01992214284837246,1.3990327254644743,27.87945866045399,1.043489773923128
31,4.0,82.36041259765625,97.81645202636719,104.20599365234375,138.21246337890625,87.78458404541016,63.745635986328125,25.12662124633789,19.92584228515625,108.2552719116211,57.77352523803711,147.7994842529297,106.22432708740234,0.008789440616965294,-0.054671645164489746,-0.054671645164489746,-5.7899235294865,27.764913514833392,1.6811634975396585
32,4.0,71.59519958496094,79.40853118896484,109.71588134765625,132.4804229736328,80.86775207519531,62.45980453491211,31.31698989868164,26.144269943237305,103.36927795410156,48.891910552978516,134.97727966308594,106.13431549072266,0.018198590725660324,-0.08322006464004517,-0.08322006464004517,1.4428460284050113,18.22057040776803,0.10721634670724838
33,4.0,61.07457733154297,61.140865325927734,97.87052917480469,131.671875,59.216773986816406,55.28272247314453,34.32459259033203,26.6777286529541,95.19100952148438,50.431392669677734,135.2355499267578,111.99068450927734,0.00787032674998045,-0.07519198954105377,-0.07519198954105377,4.685067462341627,27.91524790129492,1.180727450326166
34,4.0,73.12374877929688,84.94219970703125,117.04003143310547,133.39083862304688,86.23883056640625,66.77824401855469,26.54188346862793,23.144256591796875,122.52818298339844,54.17537307739258,134.02987670898438,108.32779693603516,0.02253357321023941,-0.07500851154327393,-0.07500851154327393,-4.008414896884568,14.37874682314472,0.5709855102195277
35,4.0,63.37345886230469,76.26441955566406,115.6521224975586,136.4165496826172,74.86491394042969,57.11494445800781,29.39048957824707,25.18712043762207,107.7420425415039,53.37989044189453,135.18630981445312,111.35554504394531,0.017647434026002884,-0.07447521388530731,-0.07447521388530731,4.488250184598121,13.378616302279681,1.0893659303793244
36,4.0,58.96552658081055,73.58087158203125,105.75640869140625,127.97240447998047,72.46442413330078,55.468727111816406,25.211389541625977,21.20909881591797,111.49452209472656,53.42729187011719,139.37271118164062,116.64082336425781,0.007549470756202936,-0.05183911696076393,-0.05183911696076393,1.8968942479796351,20.27780646952839,-0.1828034206312477
37,4.0,66.85263061523438,72.4364013671875,103.43419647216797,139.94253540039062,73.97517395019531,56.73573303222656,36.49728775024414,31.36580467224121,106.1206283569336,50.66409683227539,141.70712280273438,100.3282470703125,0.012700514867901802,-0.06366188824176788,-0.06366188824176788,1.1935792498902853,19.54983042517914,-0.43425521747427664
38,4.0,67.04656219482422,71.7912368774414,106.18838500976562,141.5247344970703,69.52521514892578,52.75946044921875,26.878528594970703,21.354394912719727,112.19312286376953,51.9242057800293,134.6743621826172,98.08716583251953,0.013115295208990574,-0.06229150667786598,-0.06229150667786598,-1.1631294380795991,23.260367308758934,0.5561182207458859
39,4.0,60.324256896972656,77.35269165039062,113.69293212890625,129.93649291992188,70.89468383789062,55.60105514526367,28.791202545166016,23.250009536743164,117.64640808105469,58.71628952026367,133.7643585205078,119.52252197265625,0.008085200563073158,-0.06175752729177475,-0.06175752729177475,-0.1527391901930687,22.785523328975145,-3.111410118395687
40,4.0,61.34347152709961,64.74700927734375,102.44811248779297,130.2155303955078,67.3525619506836,51.53764343261719,34.187103271484375,30.659116744995117,101.4928970336914,50.82341003417969,134.54832458496094,108.60249328613281,0.02109578438103199,-0.10160239040851593,-0.10160239040851593,4.961164641060024,14.85179238510154,1.8611179134555136
41,4.0,75.42102813720703,91.16348266601562,110.20695495605469,133.17633056640625,88.21601867675781,64.28130340576172,36.474422454833984,28.85470962524414,96.25435638427734,51.04045486450195,139.6693878173828,105.30034637451172,0.02005496434867382,-0.05153324082493782,-0.05153324082493782,-3.862514806360145,17.10642770421503,-2.6781972695239906
42,4.0,59.943233489990234,68.7851791381836,106.89838409423828,131.97933959960938,72.35871124267578,58.83879470825195,35.315704345703125,30.438274383544922,114.33685302734375,56.33218002319336,139.43116760253906,93.6073989868164,0.005498474929481745,-0.0635187178850174,-0.0635187178850174,-0.2313474775138458,21.726033248343807,-1.5945055766776175
43,4.0,73.94786071777344,89.75938415527344,110.00422668457031,123.0634994506836,75.10834503173828,63.33961486816406,25.623395919799805,21.389617919921875,125.83492279052734,61.8809700012207,139.175537109375,124.3222427368164,0.017712969332933426,-0.06882650405168533,-0.06882650405168533,-7.654066111785434,15.349618152702234,-1.262290858277763
44,4.0,61.48521423339844,69.93323516845703,104.89021301269531,130.8477020263672,69.9642562866211,57.83187484741211,38.317893981933594,33.63283920288086,102.06544494628906,49.624237060546875,140.7137908935547,102.12895202636719,0.010130717419087887,-0.07821166515350342,-0.07821166515350342,0.5101904219534926,23.07389639391538,0.7208197360872133
45,4.0,58.763755798339844,70.8696060180664,112.3955078125,131.78335571289062,66.6259536743164,57.97145462036133,29.738557815551758,25.071657180786133,119.14460754394531,52.25019454956055,134.66607666015625,123.7342529296875,0.004902607295662165,-0.09052342176437378,-0.09052342176437378,-0.36497492046784097,20.83189364221321,3.0556385760869094
46,4.0,70.12774658203125,73.42713928222656,98.37741088867188,129.28768920898438,70.81366729736328,62.25736999511719,26.344024658203125,23.283796310424805,100.20770263671875,50.61827087402344,139.48898315429688,109.45843505859375,0.0060378373600542545,-0.06911346316337585,-0.06911346316337585,-1.304133896209649,25.583343368008734,-0.013170046602972859
47,4.0,67.60010528564453,76.16169738769531,109.66788482666016,139.79869079589844,71.69409942626953,56.74038314819336,36.42058181762695,29.705726623535156,89.83588409423828,47.73199462890625,126.99333953857422,90.4765396118164,0.021520251408219337,-0.041432879865169525,-0.041432879865169525,0.3736671068284321,20.399591379356977,-3.128056359659828
48,4.0,62.27379608154297,86.26161193847656,127.5771713256836,137.97927856445312,74.13165283203125,56.01137161254883,30.385255813598633,25.960594177246094,112.77545166015625,57.662132263183594,141.2542266845703,118.43680572509766,-0.004537342116236687,-0.03245316445827484,-0.03245316445827484,-2.6607203018208523,26.033647811032157,2.5063287821810483
49,4.0,72.59589385986328,74.99952697753906,102.18753814697266,124.84075927734375,75.5758285522461,65.31182098388672,27.560379028320312,24.11033058166504,107.94959259033203,60.67395782470703,141.486083984375,118.12635803222656,-0.0026080962270498276,-0.05044947937130928,-0.05044947937130928,0.46048172359820494,22.348100763231287,0.5889576793355835
