,class,18-37,20-37,22-37,23-46,25-46,27-46,38-42,45-47,49-34,52-34,55-34,58-34,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,4.0,59.89435958862305,75.10091400146484,116.53012084960938,96.12779998779297,80.55037689208984,68.02876281738281,21.1743106842041,24.438602447509766,141.53399658203125,75.27555847167969,124.14905548095703,106.11221313476562,-0.013014768250286579,-0.06324455142021179,-0.06324455142021179,-5.151184649372956,-17.046527681990966,-0.15250096336756755
1,4.0,63.800819396972656,63.78391647338867,132.7266845703125,107.33891296386719,71.85204315185547,75.0739517211914,9.95213508605957,14.657785415649414,130.1668701171875,63.74184036254883,111.602783203125,124.00588989257812,0.000986148021183908,-0.04444519057869911,-0.04444519057869911,-1.6823989603419454,-29.42585731927063,1.8323954452603803
2,4.0,59.89237594604492,63.75003433227539,126.27510070800781,101.18113708496094,72.4519271850586,71.26249694824219,15.476797103881836,19.795978546142578,123.35771179199219,57.750205993652344,106.22151947021484,112.83099365234375,-0.005601171869784594,-0.060700710862874985,-0.060700710862874985,2.4678635195444323,-21.01908357065736,0.09218966287489595
3,4.0,62.763458251953125,61.109107971191406,130.8031768798828,106.39283752441406,65.94786834716797,65.74036407470703,18.259418487548828,22.217084884643555,125.3958969116211,53.95647048950195,99.89452362060547,108.9771957397461,-0.007604431360960007,-0.055768899619579315,-0.055768899619579315,5.7172658699996575,-21.082488138111138,-3.6295005754092404
4,4.0,56.5329475402832,70.52822875976562,135.7385711669922,105.48454284667969,69.19738006591797,64.42369079589844,20.29942512512207,23.064254760742188,132.46514892578125,58.99855422973633,115.80088806152344,120.44901275634766,-0.011483068577945232,-0.05262041464447975,-0.05262041464447975,-2.987905311525229,-21.47536439596893,-1.2693320414806815
5,4.0,60.241573333740234,71.51028442382812,137.33694458007812,108.37533569335938,78.60368347167969,66.55711364746094,23.324302673339844,29.295177459716797,135.95892333984375,61.24961853027344,122.19790649414062,120.50641632080078,-0.0035284962505102158,-0.06963447481393814,-0.06963447481393814,-3.785481425581206,-27.748625838283797,-0.05136842872519823
6,4.0,61.488704681396484,74.90908813476562,140.3481903076172,130.62318420410156,79.95470428466797,64.76241302490234,17.533912658691406,21.704700469970703,135.768310546875,59.60661315917969,111.53284454345703,102.75201416015625,-0.008137566968798637,-0.057455431669950485,-0.057455431669950485,-3.6446069660734484,-20.533175743692432,1.4989059512616043
7,4.0,58.19563674926758,76.08916473388672,136.89309692382812,109.34329223632812,82.23865509033203,66.60487365722656,25.7316951751709,30.55755615234375,141.6348876953125,65.9342041015625,121.98031616210938,90.46725463867188,-0.00632411940023303,-0.05825880914926529,-0.05825880914926529,-8.445649957118729,-20.04785307137608,5.033120062074833
8,4.0,61.63922119140625,72.9222640991211,138.0393829345703,107.06743621826172,80.1589584350586,68.30030059814453,23.353687286376953,29.682601928710938,133.24533081054688,55.015907287597656,100.80988311767578,87.4716567993164,-0.010316953994333744,-0.05565870180726051,-0.05565870180726051,0.13062386937662618,-20.321566018981837,-0.2622564274231912
9,4.0,62.481571197509766,78.07904815673828,127.87024688720703,107.35315704345703,74.22159576416016,67.06705474853516,21.842023849487305,23.212051391601562,134.0609893798828,48.978485107421875,108.73566436767578,91.8176498413086,-0.013081921264529228,-0.06007339060306549,-0.06007339060306549,-6.40494248199681,-19.85139796197318,-0.7321293141553299
10,4.0,61.89230728149414,76.52881622314453,136.8075714111328,120.16667938232422,87.86676025390625,73.9146957397461,25.164207458496094,31.78223419189453,139.98179626464844,67.53881072998047,123.51136016845703,112.3321304321289,0.005101025104522705,0.07125871628522873,0.07125871628522873,-9.463798231340418,-26.998092191268533,-177.1835701749613
11,4.0,54.78390121459961,63.002559661865234,138.04420471191406,96.1195068359375,62.487552642822266,62.862060546875,23.836454391479492,28.55755043029785,137.04742431640625,55.15496063232422,112.77291870117188,101.16664123535156,-0.0028303328435868025,-0.054763708263635635,-0.054763708263635635,4.341407514944635,-26.208970613952253,1.2464157745186648
12,4.0,55.23159408569336,70.15026092529297,142.3390655517578,103.90850830078125,66.18043518066406,62.87237548828125,25.70734214782715,30.001434326171875,134.84852600097656,47.11307907104492,102.94312286376953,105.75911712646484,-0.008516347035765648,-0.049503933638334274,-0.049503933638334274,3.55028486712821,-19.888333235557493,0.8663738404178628
13,4.0,52.05003356933594,64.62122344970703,140.913330078125,96.98292541503906,69.78466033935547,62.608482360839844,28.43285369873047,36.36194610595703,144.20138549804688,61.021610260009766,104.01756286621094,108.2723159790039,-0.004532969556748867,-0.05228389799594879,-0.05228389799594879,1.7010958546745083,-25.73902207524657,0.5601324588158584
