,class,left_eyebrow_18x,left_eyebrow_18y,left_eyebrow_20x,left_eyebrow_20y,left_eyebrow_22x,left_eyebrow_22y,right_eyebrow_23x,right_eyebrow_23y,right_eyebrow_25x,right_eyebrow_25y,right_eyebrow_27x,right_eyebrow_27y,left_eye38_x,left_eye38_y,right_eye45_x,right_eye45_y,left_lip49_x,left_lip49_y,lip_center_upper52_x,lip_center_upper52_y,right_lip55_x,right_lip55_y,lip_center_lower58_x,lip_center_lower58_y,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
54,5,4,8,7,15,7,7,-15,6,-7,11,-6,25,-5,4,-9,6,-5,-1,-10,0,-14,1,-11,-2,0.0012018569,-0.0030092895,-0.0030092895,-1.0880792645,0.3584590789,1.5578375311
55,5,1,14,3,-1,15,-4,15,-9,6,-9,-5,-8,5,10,2,8,-12,15,7,19,10,17,2,19,0.0036797673,0.0007940754,0.0007940754,1.5409696174,-4.7053271297,-0.8683851971
56,5,4,54,2,45,13,30,6,22,9,27,7,28,12,40,8,28,9,28,17,33,23,24,19,24,-0.0048520854,-0.0110406727,-0.0110406727,0.2478279099,-0.0403540167,-2.171903466
57,5,2,35,7,34,13,33,7,34,13,36,16,34,8,27,12,25,10,32,12,31,16,29,14,35,-0.0045686415,-0.0086243283,-0.0086243283,0.3177845537,2.072095664,-0.2798620503
58,5,14,46,14,45,18,35,4,22,9,20,8,32,6,37,6,30,24,71,3,54,-8,66,2,52,0.0042235502,-0.007980939,-0.007980939,4.289649807,-5.2543315271,-0.9617921246
59,5,-4,56,-4,47,-2,45,-4,47,-1,44,3,44,-1,50,6,44,14,67,12,61,10,56,16,54,-0.0016815311,-0.0150750987,-0.0150750987,0.015750018,-0.4654428187,-1.8597301113
60,5,1,7,1,5,7,-2,-14,-7,-1,-1,8,6,-2,-1,2,-1,-2,14,-6,-1,-9,13,-9,4,-0.0017572655,-0.0005323328,-0.0005323328,0.3396734417,3.432770329,0.2596424784
61,5,15,8,9,18,-3,22,0,20,-2,25,-7,19,2,12,-2,13,1,7,-11,8,-12,9,-10,0,0.0006830164,-0.0019448549,-0.0019448549,2.8253074429,0.6230980181,0.9146625551
62,5,11,36,21,41,25,49,15,50,19,52,19,51,17,26,13,34,7,54,10,50,10,55,7,49,-0.0017824722,-0.0099414214,-0.0099414214,1.742564423,-0.4302851418,1.4637181686
63,5,10,-20,13,-13,17,-28,5,-32,-1,-18,-10,-23,6,-23,5,-19,18,-12,12,-31,2,-16,14,-26,0.0033796127,0.0043685474,0.0043685474,-3.9966449952,-7.5976631602,0.030147299
