,class,18-37,20-37,22-37,23-46,25-46,27-46,38-42,45-47,49-34,52-34,55-34,58-34,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z
0,5.0,69.50028228759766,79.89767456054688,110.78271484375,113.28617095947266,79.77302551269531,65.94841766357422,32.432273864746094,31.232086181640625,113.7441635131836,48.541114807128906,126.78402709960938,134.37437438964844,-0.013630553148686886,-0.056976500898599625,-0.056976500898599625,1.3265257601062546,19.00631631579856,2.852236954202393
1,5.0,58.82929611206055,80.87574005126953,120.1240463256836,124.3661117553711,83.23345184326172,63.5823974609375,32.032066345214844,31.496339797973633,112.14522552490234,43.966888427734375,114.47318267822266,144.33619689941406,-0.01720656268298626,-0.05109284073114395,-0.05109284073114395,-0.9037002925861949,14.82453999607746,-2.356782286014097
2,5.0,58.10443115234375,78.07969665527344,121.56400299072266,125.09461975097656,78.20722198486328,60.3759651184082,31.553665161132812,30.383981704711914,120.87897491455078,46.031219482421875,118.3575210571289,149.09335327148438,-0.014662832953035831,-0.04717172682285309,-0.04717172682285309,0.9508918623369157,12.977398102286376,-1.3457896377742804
3,5.0,67.33130645751953,85.33515930175781,122.24961853027344,120.8174057006836,79.91487121582031,63.83047103881836,29.88680076599121,28.62545394897461,121.00955200195312,43.48346710205078,137.01797485351562,139.25270080566406,-0.01122652180492878,-0.04617568477988243,-0.04617568477988243,-2.7842840743118358,19.47332241500338,4.57720315959102
4,5.0,67.46163940429688,76.74678039550781,116.42782592773438,111.60111999511719,73.2519760131836,64.9283218383789,34.37737274169922,33.71567153930664,116.52240753173828,41.23147201538086,125.80573272705078,132.71844482421875,-0.006709730718284845,-0.059784844517707825,-0.059784844517707825,-0.3646681977158949,14.385154364074507,5.577185180865114
5,5.0,59.26689147949219,77.6446304321289,127.44721221923828,126.67019653320312,75.30603790283203,58.9577522277832,25.21455192565918,25.51321029663086,123.1881332397461,57.198394775390625,126.45469665527344,146.25767517089844,-0.01835635118186474,-0.052959151566028595,-0.052959151566028595,-0.03512021212457538,22.61352743959978,1.8542598948162443
6,5.0,67.04976654052734,67.84085845947266,119.11370849609375,121.28050231933594,71.99639892578125,68.20259857177734,24.45367431640625,24.763431549072266,106.34456634521484,40.554168701171875,116.27737426757812,123.48887634277344,-0.0014527555322274566,-0.047170281410217285,-0.047170281410217285,6.79391411513944,1.856590406255106,1.237823825590785
7,5.0,66.47547912597656,75.42644500732422,125.3494873046875,124.33126831054688,74.72174072265625,65.06452941894531,24.842811584472656,26.11804962158203,109.76622772216797,42.396705627441406,121.99706268310547,122.57942962646484,-0.0005541549762710929,-0.04442959651350975,-0.04442959651350975,3.3505152481064036,1.6164970646909604,1.8059059739965777
8,5.0,68.69554138183594,84.6513442993164,125.2844009399414,123.14990234375,82.22032165527344,66.57816314697266,22.308483123779297,22.488868713378906,125.61170196533203,48.05958938598633,122.07058715820312,146.93869018554688,0.00699139479547739,-0.05110526084899902,-0.05110526084899902,-4.82585045817169,-3.968871217939567,4.590454191628232
9,5.0,65.87066650390625,95.4587631225586,122.37845611572266,122.27240753173828,88.21887969970703,60.898468017578125,27.999792098999023,27.176902770996094,119.57318115234375,50.02887725830078,131.26527404785156,148.8900909423828,-0.017661023885011673,-0.03208983317017555,-0.03208983317017555,-4.973376074403101,16.913268763611743,-3.9208138229353096
10,5.0,53.02888870239258,80.31690216064453,132.20263671875,127.47797393798828,80.16930389404297,53.9168701171875,33.281593322753906,34.37881851196289,123.60269165039062,32.78809356689453,119.85881805419922,156.53140258789062,0.019562726840376854,-0.061182066798210144,-0.061182066798210144,-2.4225391609662346,-18.381742935889612,4.119636998778065
11,5.0,58.11775588989258,74.00902557373047,127.92758178710938,124.74691009521484,75.21054077148438,57.090782165527344,28.54371452331543,30.535245895385742,127.275634765625,50.337120056152344,130.51046752929688,149.12782287597656,-0.01233537308871746,-0.04992961511015892,-0.04992961511015892,-1.7891461829554218,17.113254846626194,2.445386270524368
12,5.0,70.55393981933594,86.76287078857422,123.62946319580078,122.29400634765625,88.07860565185547,69.25193786621094,35.33561706542969,34.99398422241211,112.77086639404297,41.42831802368164,125.3727035522461,123.15119171142578,-0.011981355957686901,-0.05539541691541672,-0.05539541691541672,-1.4827279056922524,12.259788791575485,-0.6169189926898743
13,5.0,68.93785858154297,90.96475219726562,124.87640380859375,126.30422973632812,86.07528686523438,65.21582794189453,29.8713321685791,27.95926284790039,108.11695098876953,39.210960388183594,128.4205780029297,126.62738037109375,-0.010150561109185219,-0.06798826903104782,-0.06798826903104782,-6.731399109850619,11.502912732141402,-0.9695148986383721
14,5.0,61.357521057128906,83.55535125732422,121.28946685791016,127.9278564453125,83.22640991210938,55.7525520324707,36.88249588012695,38.82296371459961,121.4726333618164,51.28707504272461,119.75797271728516,118.7098159790039,0.00024956773268058896,-0.049199994653463364,-0.049199994653463364,-4.046783815187119,4.657524244067501,3.565539748261145
15,5.0,61.05238723754883,78.21707153320312,120.58424377441406,119.33678436279297,75.66504669189453,58.01559066772461,28.06043243408203,28.34002685546875,116.35799407958984,37.173980712890625,114.1981430053711,145.30026245117188,0.0145299406722188,-0.03219086676836014,-0.03219086676836014,-0.779590303460403,-15.298062632313657,2.2601318498905014
16,5.0,51.687286376953125,73.96980285644531,130.482421875,131.74342346191406,70.78024291992188,50.787620544433594,36.16476821899414,35.65396499633789,126.91580200195312,52.11212921142578,123.62445831298828,131.12908935546875,7.571995229227468e-05,-0.05033235251903534,-0.05033235251903534,-3.9003890437159665,4.162816686768135,3.840987489249269
17,5.0,63.04646682739258,70.2796859741211,120.99029541015625,127.86963653564453,67.16649627685547,57.30409622192383,30.176292419433594,29.495718002319336,103.508544921875,34.97563552856445,123.07673645019531,120.86312866210938,-0.011470756493508816,-0.04813347011804581,-0.04813347011804581,1.7520991473690721,11.608476252317951,-1.63302101558104
18,5.0,70.79420471191406,89.00696563720703,108.51057434082031,114.32372283935547,83.2657470703125,69.0118637084961,23.71648597717285,23.05931854248047,121.42994689941406,51.72663497924805,127.26127624511719,120.24504089355469,-0.0022937487810850143,-0.052078310400247574,-0.052078310400247574,-2.1601978373248505,4.8795590512178535,2.1924638508065963
19,5.0,54.42783737182617,79.02880859375,133.31980895996094,128.3133544921875,79.16949462890625,59.769195556640625,34.00613021850586,35.997840881347656,122.29605102539062,55.56514358520508,119.83467102050781,97.89754486083984,0.005169774405658245,-0.0520310178399086,-0.0520310178399086,-3.0221118488433962,-8.065649921887555,-2.5514343626086755
20,5.0,71.59073638916016,85.98712158203125,118.90819549560547,125.12737274169922,82.46279907226562,64.50061798095703,28.729042053222656,26.660831451416016,115.81346893310547,43.88886260986328,129.48377990722656,127.75438690185547,-0.009181232191622257,-0.0448695570230484,-0.0448695570230484,2.9263357139730606,10.08944467577342,1.692229215601423
21,5.0,56.14771270751953,73.50760650634766,112.34054565429688,107.5571060180664,70.0281753540039,58.91507339477539,31.625856399536133,31.89542007446289,123.93962097167969,48.65755844116211,114.78311920166016,116.72163391113281,0.005733172874897718,-0.06196077913045883,-0.06196077913045883,0.9124315225231338,-8.7535238781359,-1.5052200878342608
22,5.0,58.448238372802734,75.93263244628906,118.7858657836914,120.01557922363281,71.84666442871094,56.51039123535156,24.570459365844727,24.3668270111084,117.693359375,41.67593765258789,129.08230590820312,164.0061798095703,-0.017267102375626564,-0.027525389567017555,-0.027525389567017555,3.882554619868513,18.719948490108564,-0.2305762741893629
23,5.0,62.832515716552734,87.04627227783203,122.24636840820312,122.03011322021484,83.17999267578125,66.28858184814453,36.928524017333984,34.68862533569336,119.29023742675781,46.35882568359375,125.40325927734375,133.25994873046875,0.00250609521754086,-0.05440979823470116,-0.05440979823470116,-3.1504023202071987,-2.712435160156059,0.6196600360829598
24,5.0,66.2963638305664,85.89391326904297,130.20144653320312,127.4423828125,77.44347381591797,66.28175354003906,30.300090789794922,30.09691619873047,125.81794738769531,44.403785705566406,129.3551025390625,135.51919555664062,0.0010752856032922864,-0.05618937313556671,-0.05618937313556671,-0.8939562950954096,1.5682014576766765,1.6673130798657612
25,5.0,60.76924514770508,87.49659729003906,124.42373657226562,125.11527252197266,84.32710266113281,59.081077575683594,26.90806007385254,27.804880142211914,134.55064392089844,55.92280578613281,131.63194274902344,128.52244567871094,0.009716247208416462,-0.07531037926673889,-0.07531037926673889,-4.797010921652143,-11.087394740170046,-0.049405143087953976
26,5.0,65.08365631103516,84.73687744140625,116.87007904052734,121.48284912109375,84.76403045654297,60.8896484375,26.02103042602539,25.86789894104004,124.7270278930664,50.07194900512695,125.13047790527344,131.08787536621094,-0.014818302355706692,-0.07852858304977417,-0.07852858304977417,-5.198548124270317,17.625728285094365,-2.036874741251562
27,5.0,61.38645935058594,84.47023010253906,124.13240814208984,116.17627716064453,79.5163803100586,65.7803955078125,28.84511947631836,29.731412887573242,117.90806579589844,47.224796295166016,121.99544525146484,107.95940399169922,0.0029574641957879066,-0.04181288182735443,-0.04181288182735443,0.34855370602637986,-5.0403960619472326,-1.1977431445517615
28,5.0,54.00029373168945,69.50495147705078,125.95674133300781,123.16990661621094,69.81192016601562,57.79431915283203,28.0095157623291,26.935707092285156,122.95133209228516,44.28264236450195,126.0268325805664,149.14598083496094,-0.007840480655431747,-0.0701930969953537,-0.0701930969953537,-0.46817160861911716,5.1684340902300425,-3.038948942373985
29,5.0,75.90802001953125,96.33758544921875,119.83187866210938,121.6804428100586,92.98867797851562,68.49932861328125,27.389328002929688,27.191055297851562,132.52903747558594,53.92839050292969,144.45733642578125,124.7664794921875,-0.002002445049583912,-0.06011189892888069,-0.06011189892888069,-9.99917300033433,7.2484718721904695,2.9760549170857233
30,5.0,51.27853775024414,85.34260559082031,132.83241271972656,130.71929931640625,81.79200744628906,52.06728744506836,33.00065612792969,31.948823928833008,136.98126220703125,51.27306365966797,126.4834976196289,138.843505859375,0.013352194800972939,-0.046973634511232376,-0.046973634511232376,-4.627956006529533,-8.10737632507157,5.93702548019669
31,5.0,62.22492218017578,74.84835052490234,116.75627899169922,123.77394104003906,67.78254699707031,56.54677963256836,29.6439266204834,26.387821197509766,117.79378509521484,56.7874755859375,128.62583923339844,136.9706573486328,-0.015685688704252243,-0.060556210577487946,-0.060556210577487946,1.3223402889477565,17.776846435864243,0.5065863763291102
32,5.0,65.15023803710938,78.49320220947266,127.30435180664062,121.40330505371094,80.02131652832031,66.62670135498047,30.547121047973633,31.819190979003906,120.93916320800781,37.71632766723633,116.52621459960938,138.93087768554688,0.014212038367986679,-0.06477250903844833,-0.06477250903844833,0.5122795922823227,-17.57111581224986,-1.6856637817872375
